episode_id,state,event_type,event_begin_time,event_end_time,damage_property,event_latitude,event_longitude,Date,Time
60801,Missouri,flood,2012-03-19 22:07:00,2012-03-19 23:07:00,0.0,36.87,-94.37,2012-03-19,22:07:00
60801,Missouri,flood,2012-03-20 00:52:00,2012-03-20 01:52:00,0.0,37.1587,-94.148,2012-03-20,00:52:00
60801,Missouri,flood,2012-03-20 13:00:00,2012-03-20 14:00:00,0.0,37.4,-94.31,2012-03-20,13:00:00
60801,Missouri,flood,2012-03-20 13:40:00,2012-03-20 14:40:00,0.0,37.9594,-94.5605,2012-03-20,13:40:00
60805,Missouri,flood,2012-03-21 20:35:00,2012-03-21 21:35:00,50000.0,37.59,-92.36,2012-03-21,20:35:00
60805,Missouri,flood,2012-03-20 20:16:00,2012-03-20 21:16:00,0.0,37.8,-94.51,2012-03-20,20:16:00
60805,Missouri,flood,2012-03-21 00:43:00,2012-03-21 01:43:00,0.0,37.11,-92.92,2012-03-21,00:43:00
60805,Missouri,flood,2012-03-21 03:46:00,2012-03-21 04:46:00,0.0,37.2,-92.71,2012-03-21,03:46:00
60805,Missouri,flood,2012-03-21 03:52:00,2012-03-21 04:52:00,0.0,37.17,-92.54,2012-03-21,03:52:00
60805,Missouri,flood,2012-03-21 06:00:00,2012-03-21 07:00:00,0.0,37.1,-92.85,2012-03-21,06:00:00
60805,Missouri,flood,2012-03-21 06:00:00,2012-03-21 07:00:00,2000.0,37.1159,-92.8627,2012-03-21,06:00:00
60805,Missouri,flood,2012-03-21 06:00:00,2012-03-21 07:00:00,0.0,37.12,-92.92,2012-03-21,06:00:00
60805,Missouri,flood,2012-03-21 06:00:00,2012-03-21 07:00:00,0.0,37.31,-92.99,2012-03-21,06:00:00
60805,Missouri,flood,2012-03-21 08:10:00,2012-03-21 09:10:00,0.0,36.6573,-91.8652,2012-03-21,08:10:00
60805,Missouri,flood,2012-03-21 08:10:00,2012-03-21 09:10:00,0.0,36.82,-91.95,2012-03-21,08:10:00
60805,Missouri,flood,2012-03-21 12:30:00,2012-03-21 13:30:00,0.0,36.64,-92.23,2012-03-21,12:30:00
60805,Missouri,flood,2012-03-21 12:30:00,2012-03-21 13:30:00,0.0,36.71,-92.27,2012-03-21,12:30:00
60805,Missouri,flood,2012-03-21 12:30:00,2012-03-21 13:30:00,0.0,37.34,-92.42,2012-03-21,12:30:00
60805,Missouri,flood,2012-03-21 03:46:00,2012-03-21 04:46:00,0.0,37.4397,-92.4149,2012-03-21,03:46:00
60856,Illinois,flood,2012-02-01 00:00:00,2012-02-07 01:30:00,2000.0,38.4458,-87.7315,2012-02-01,00:00:00
60856,Illinois,flood,2012-02-01 00:00:00,2012-02-08 14:00:00,1000.0,38.03,-88.05,2012-02-01,00:00:00
60860,Indiana,flood,2012-02-01 00:00:00,2012-02-07 01:30:00,2000.0,38.4,-87.73,2012-02-01,00:00:00
60860,Indiana,flood,2012-02-01 00:00:00,2012-02-08 05:00:00,1000.0,38.13,-87.93,2012-02-01,00:00:00
60860,Indiana,flood,2012-02-01 00:00:00,2012-02-06 11:00:00,2000.0,38.4982,-87.5391,2012-02-01,00:00:00
60860,Indiana,flood,2012-02-01 00:00:00,2012-02-05 13:00:00,2000.0,38.5,-87.28,2012-02-01,00:00:00
60909,Arkansas,flood,2012-03-21 15:30:00,2012-03-22 07:00:00,10000.0,34.6,-92.22,2012-03-21,15:30:00
60909,Arkansas,flood,2012-03-21 15:30:00,2012-03-22 07:00:00,10000.0,35.3393,-92.47,2012-03-21,15:30:00
60909,Arkansas,flood,2012-03-21 08:00:00,2012-03-21 10:30:00,10000.0,33.7975,-92.5392,2012-03-21,08:00:00
60909,Arkansas,flood,2012-03-21 14:30:00,2012-03-22 10:00:00,75000.0,35.7,-92.7864,2012-03-21,14:30:00
60909,Arkansas,flood,2012-03-21 08:00:00,2012-03-22 09:00:00,100000.0,35.9621,-92.2337,2012-03-21,08:00:00
60909,Arkansas,flood,2012-03-21 10:30:00,2012-03-22 10:00:00,100000.0,33.7872,-92.4905,2012-03-21,10:30:00
60909,Arkansas,flood,2012-03-20 13:15:00,2012-03-26 00:15:00,20000.0,36.3677,-91.6823,2012-03-20,13:15:00
61025,Maine,flood,2012-03-22 02:45:00,2012-03-22 15:00:00,0.0,46.4133,-68.7003,2012-03-22,02:45:00
61067,Wyoming,flood,2012-03-11 13:00:00,2012-03-13 11:00:00,0.0,44.98,-104.41,2012-03-11,13:00:00
61075,Arkansas,flood,2012-03-09 15:00:00,2012-03-29 15:00:00,5000.0,35.2773,-91.2433,2012-03-09,15:00:00
61075,Arkansas,flood,2012-03-10 04:00:00,2012-03-31 23:59:00,5000.0,35.3076,-91.4159,2012-03-10,04:00:00
61076,Arkansas,flood,2012-03-21 12:00:00,2012-03-22 06:00:00,5000.0,34.5508,-92.6232,2012-03-21,12:00:00
61076,Arkansas,flood,2012-03-21 16:30:00,2012-03-24 17:45:00,5000.0,35.0598,-93.4027,2012-03-21,16:30:00
61076,Arkansas,flood,2012-03-23 11:30:00,2012-03-23 21:00:00,5000.0,35.0882,-92.5481,2012-03-23,11:30:00
61076,Arkansas,flood,2012-03-24 20:00:00,2012-03-31 23:59:00,5000.0,34.7011,-91.3302,2012-03-24,20:00:00
61076,Arkansas,flood,2012-03-21 18:00:00,2012-03-22 13:00:00,5000.0,34.1267,-93.0499,2012-03-21,18:00:00
61076,Arkansas,flood,2012-03-21 06:30:00,2012-03-27 17:30:00,15000.0,35.0154,-92.7359,2012-03-21,06:30:00
61076,Arkansas,flood,2012-03-22 14:00:00,2012-03-31 23:59:00,15000.0,33.5825,-92.8268,2012-03-22,14:00:00
61076,Arkansas,flood,2012-03-22 04:15:00,2012-03-24 10:00:00,5000.0,35.1443,-92.7445,2012-03-22,04:15:00
61076,Arkansas,flood,2012-03-21 15:00:00,2012-03-22 11:45:00,5000.0,35.7628,-91.6546,2012-03-21,15:00:00
61080,Arkansas,flood,2012-03-27 23:45:00,2012-03-31 23:59:00,5000.0,35.1601,-91.46700000000001,2012-03-27,23:45:00
61111,West virginia,flood,2012-02-29 20:00:00,2012-02-29 23:59:00,1000.0,38.73,-79.97,2012-02-29,20:00:00
61135,Kentucky,flood,2012-03-15 20:00:00,2012-03-15 21:15:00,0.0,37.6554,-83.8043,2012-03-15,20:00:00
61135,Kentucky,flood,2012-03-15 20:00:00,2012-03-15 22:00:00,0.0,37.85,-83.81,2012-03-15,20:00:00
